start,end,alertname,namespace,severity,silenced,labels
363,19725,HighCPUUsage_035,openshift-kube-apiserver,critical,false,{"component": "version"}
1794,18628,APIServerLatency_036,openshift-etcd,warning,false,{"component": "monitoring"}
782,19732,PersistentVolumeErrors_037,openshift-logging,warning,false,{"component": "version"}
430,18586,KubePodCrashLooping_038,openshift-etcd,warning,false,{"component": "version"}
1260,18218,ClusterOperatorDegraded_039,openshift-storage,warning,false,{"component": "network"}
5466,12367,KubePodNotReady_040,openshift-operators,warning,true,{"component": "compute"}
6449,18321,KubeCPUOvercommit_041,openshift-logging,critical,false,{"component": "api-server"}
493,19194,HighCPUUsage_042,openshift-machine-api,info,false,{"component": "Others"}
150,19380,CephClusterWarning_043,openshift-logging,critical,true,{"component": "version"}
658,18963,PrometheusDown_044,openshift-network,info,false,{"component": "Others"}
1318,19654,KubeDeploymentReplicasMismatch_045,openshift-kube-apiserver,warning,false,{"component": "etcd"}
1808,11121,ThanosQueryDown_046,openshift-network,warning,false,{"component": "monitoring"}
5183,13768,APIServerLatency_047,openshift-operators,info,true,{"component": "storage"}
1192,11469,KubePodCrashLooping_048,openshift-operators,critical,false,{"component": "version"}
1399,18148,KubeMemoryOvercommit_049,openshift-etcd,info,false,{"component": "etcd"}
821,18726,EtcdHighCommitDurations_050,openshift-network,warning,true,{"component": "compute"}
802,19873,PrometheusTargetDown_051,openshift-storage,info,false,{"component": "Others"}
4593,11031,KubePodNotReady_052,openshift-operators,warning,false,{"component": "api-server"}
671,19852,CephClusterWarning_053,openshift-etcd,critical,false,{"component": "network"}
813,19728,APIServerErrorsHigh_054,openshift-machine-api,critical,false,{"component": "version"}
969,19155,KubeMemoryOvercommit_055,openshift-etcd,warning,true,{"component": "compute"}
606,18620,HighMemoryUsage_056,openshift-monitoring,critical,true,{"component": "Others"}
379,19131,NetworkLatencyHigh_057,openshift-storage,warning,false,{"component": "version"}
440,19274,EtcdNoLeader_058,openshift-monitoring,info,false,{"component": "Others"}
1137,18076,KubeDeploymentReplicasMismatch_059,openshift-logging,warning,false,{"component": "compute"}
6200,16600,CephClusterWarning_060,openshift-monitoring,warning,false,{"component": "etcd"}
168,18071,PersistentVolumeErrors_061,openshift-etcd,warning,false,{"component": "monitoring"}
1187,18305,EtcdNoLeader_062,openshift-operators,warning,false,{"component": "etcd"}
152,18342,ClusterOperatorDegraded_063,openshift-logging,warning,false,{"component": "api-server"}
4,18156,KubeCPUOvercommit_064,openshift-machine-api,warning,false,{"component": "compute"}
1546,18785,CephClusterWarning_065,openshift-logging,critical,false,{"component": "Others"}
688,18035,PersistentVolumeErrors_066,openshift-etcd,warning,false,{"component": "storage"}
6258,12288,EtcdHighCommitDurations_067,openshift-network,warning,false,{"component": "Others"}
518,19559,DNSLatencyHigh_068,openshift-etcd,critical,false,{"component": "Others"}
645,18003,CephClusterWarning_069,openshift-operators,critical,false,{"component": "version"}
1785,19437,CephClusterWarning_070,openshift-storage,info,false,{"component": "version"}
122,19575,KubeNodeNotReady_071,openshift-kube-apiserver,info,false,{"component": "api-server"}
1987,18033,DNSLatencyHigh_072,openshift-storage,warning,true,{"component": "storage"}
2394,12595,EtcdMembersDown_073,openshift-kube-apiserver,warning,false,{"component": "network"}
933,19901,EtcdNoLeader_074,openshift-machine-api,info,false,{"component": "storage"}
946,19710,KubeDeploymentReplicasMismatch_075,openshift-machine-api,critical,false,{"component": "monitoring"}
531,18796,EtcdMembersDown_076,openshift-kube-apiserver,warning,false,{"component": "version"}
14687,15006,KubeNodeNotReady_077,openshift-etcd,info,false,{"component": "compute"}
1722,19888,KubeCPUOvercommit_078,openshift-logging,warning,false,{"component": "network"}
1592,18315,HighCPUUsage_079,openshift-network,critical,false,{"component": "api-server"}
808,18252,KubeMemoryOvercommit_080,openshift-etcd,info,true,{"component": "Others"}
841,18753,EtcdNoLeader_081,openshift-logging,warning,false,{"component": "version"}
265,18155,EtcdMembersDown_082,openshift-machine-api,critical,false,{"component": "api-server"}
1456,18239,APIServerLatency_083,openshift-machine-api,critical,false,{"component": "compute"}
6459,14355,PrometheusDown_084,openshift-logging,warning,false,{"component": "etcd"}
1787,18753,KubePodCrashLooping_085,openshift-logging,info,false,{"component": "etcd"}
17524,17625,AlertmanagerDown_086,openshift-kube-apiserver,warning,false,{"component": "etcd"}
4192,4457,KubePodCrashLooping_087,openshift-monitoring,warning,false,{"component": "api-server"}
5,19339,KubeNodeUnreachable_088,openshift-storage,warning,false,{"component": "compute"}
1187,11825,DiskSpaceLow_089,openshift-storage,critical,false,{"component": "Others"}
698,18146,NetworkLatencyHigh_090,openshift-kube-apiserver,warning,true,{"component": "compute"}
1622,19711,KubePodNotReady_091,openshift-network,warning,false,{"component": "api-server"}
733,18541,AlertmanagerDown_092,openshift-etcd,critical,false,{"component": "monitoring"}
110,18407,NetworkLatencyHigh_093,openshift-storage,warning,false,{"component": "monitoring"}
1845,19244,CephClusterWarning_094,openshift-kube-apiserver,critical,false,{"component": "monitoring"}
76,18403,KubeDeploymentReplicasMismatch_095,openshift-operators,critical,false,{"component": "storage"}
4622,11280,DiskSpaceLow_096,openshift-kube-apiserver,warning,false,{"component": "api-server"}
1307,20050,KubePodCrashLooping_097,openshift-storage,warning,false,{"component": "Others"}
53,18791,KubeCPUOvercommit_098,openshift-operators,critical,false,{"component": "etcd"}
7420,15350,KubeMemoryOvercommit_099,openshift-network,warning,false,{"component": "Others"}
1681,19730,KubePodCrashLooping_100,openshift-etcd,critical,false,{"component": "compute"}
